NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,HD,HIPP,RA,DEC,RA_STRING,DEC_STRING,V,VURL,VREF,J,I,DEPTH,T14,TT,MASS,R,AR,B,RSTAR,MSTAR,STAR,TEFF,LOGG,FE,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,TRANSIT,TRANSITURL,TRANSITREF,OTHERNAME,KS,H
,mjupiter,au,day,,deg,jd,m/s,,,,,,,hr,deg,,,,,,,deg,,day,,mjupiter,rjupiter,,,rsun,msun,,k,,,,,,,,,,,,
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,,,14.5517638888624,21.89471611128913,14:33:06.35,+21:53:40.978,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,8.869,84.32,0.0102,0.1275,2454463.57583,7.69234,1.281,5.929,0.535,1.31,1.31,WASP-14,6475,4.07,0,WASP-14 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-14&PLANET=b,WASP-14,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-14,1,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,,8.621,8.65
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.20671944459279,50.03361111111111,19:12:24.19,+50:02:01.0,,,,,,,0.176829,2455005.63186,,0.196096,,0.8955,1.88,1.23,Kepler-50,6058,3.98,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-262,,
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.17986777729458,42.33869444423252,19:10:47.524,+42:20:19.30,12.51,,,11.252,86.5,0.000344102,0.113895,2454967.50027,0.0266646,0.170247,8.28,0.633,0.944,0.912,Kepler-20,5455,4.4,0.01,Kepler-20 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-20&PLANET=b,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,1,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,KOI-70,10.871,10.91
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,,,14.85116388890478,5.947361111111111,14:51:04.19,+05:56:50.5,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,10.626,85,0.0143,0.07,2455407.9088,0.617485,1.02,9.80392,0.87,0.87,0.92,HAT-P-27,5190,4.5,0.14,HAT-P-27/WASP-40 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-27/WASP-40&PLANET=b,HAT-P-27,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-27,1,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,WASP-40,10.109,10.249
Kepler-11 c,0.04247,0.106504,13.02502,0,90,2454971.1748,,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,19.80767277770572,41.90913055525886,19:48:27.622,+41:54:32.87,,,,12.548,89,0.000683822,0.1925,2454971.1748,0.0424765,0.281024,,0.36,1.1,0.95,Kepler-11,5680,4.3,0,Kepler-11 c,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-11&PLANET=c,GSC 03144-00002,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03144-00002,1,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,KOI-157,12.237,12.237
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,,,23.16618055555555,18.39608333375719,23:09:58.25,+18:23:45.9,11.58,,,10.35,88.75,0.01082,0.1398,2454743.0419,0.300272,1.07,10.5518,0.23,1.06,1.01,WASP-21,5800,4.2,-0.46,WASP-21 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-21&PLANET=b,WASP-21,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-21,1,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,2MASS J23095825+1823459,9.982,10.085
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,,,13.02399277793037,-27.52219444433848,13:01:26.374,-27:31:19.9,11.88,,,10.596,88,0.0187,0.116,2455274.99649,0.57847,1.22,11.0586,0.38,0.92,1,WASP-25,5750,4.5,-0.05,WASP-25 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-25&PLANET=b,TYC 6706-861-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+6706-861-1,1,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,2MASS J13012637-2731199,10.174,10.268
Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,,,297.84240417,46.57427222,19:51:22.177,+46:34:27.3,,,,13.616,,0.000224,0.039,2454965.54,,0.0730903,,,0.53,0.54,Kepler-32,3793,4.64,-0.01,,,Kepler-32,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-32,1,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,KOI-952,12.757,12.901
Kepler-49 c,,0.07889,10.9129343,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.48631111118529,40.59166666666667,19:29:10.72,40:35:30.0,,,,13.184,,,0.119071,2455002.84919,,0.227293,,0.9467,0.53,0.55,Kepler-49,3974,4.73,,,,Kepler-49,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-49,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-248,12.383,12.487
